environment | time (ms),fast_sodium_current | i_Na (uA_per_mm2),L_type_Ca_channel | i_CaCa (uA_per_mm2),L_type_Ca_channel | i_CaK (uA_per_mm2),membrane | V (mV),plateau_potassium_current | i_Kp (uA_per_mm2),time_dependent_potassium_current | i_K (uA_per_mm2),time_independent_potassium_current | i_K1 (uA_per_mm2)
0.53,-0.00517451,-0.000197349,2.40715e-07,-59.5666,6.91612e-08,9.96125e-13,0.0259525
0.54,-0.00615466,-0.000209957,2.63718e-07,-59.0865,7.62278e-08,1.1523e-12,0.0255165
0.55,-0.00731022,-0.000223346,2.88849e-07,-58.6049,8.40186e-08,1.33151e-12,0.0250752
0.56,-0.00867052,-0.000237566,3.16304e-07,-58.1215,9.26117e-08,1.53701e-12,0.0246291
0.57,-0.0102696,-0.000252668,3.46306e-07,-57.6362,1.02096e-07,1.77253e-12,0.0241788
0.58,-0.0121466,-0.00026871,3.79095e-07,-57.1487,1.12571e-07,2.04231e-12,0.0237247
0.59,-0.0143468,-0.000285753,4.1494e-07,-56.6587,1.24151e-07,2.35119e-12,0.0232672
0.6,-0.016922,-0.000303861,4.54142e-07,-56.1658,1.36967e-07,2.70472e-12,0.0228065
0.61,-0.019932,-0.000323106,4.97029e-07,-55.6697,1.51165e-07,3.10924e-12,0.0223429
0.62,-0.0234457,-0.000343562,5.43976e-07,-55.1698,1.6692e-07,3.57202e-12,0.0218766
0.63,-0.027542,-0.000365314,5.95397e-07,-54.6657,1.84428e-07,4.10139e-12,0.0214077
0.64,-0.0323119,-0.000388448,6.51761e-07,-54.1566,2.03922e-07,4.70695e-12,0.020936
0.65,-0.0378602,-0.000413065,7.136e-07,-53.6419,2.25676e-07,5.39981e-12,0.0204616
0.66,-0.0443074,-0.000439271,7.81515e-07,-53.1206,2.5001e-07,6.19275e-12,0.0199842
0.67,-0.0517919,-0.000467182,8.56194e-07,-52.5919,2.7731e-07,7.10067e-12,0.0195034
0.68,-0.0604737,-0.00049693,9.38429e-07,-52.0547,3.08036e-07,8.14087e-12,0.0190189
0.69,-0.0705372,-0.00052866,1.02914e-06,-51.5076,3.42746e-07,9.33365e-12,0.0185301
0.7,-0.0821956,-0.000562534,1.12939e-06,-50.9491,3.82125e-07,1.07029e-11,0.0180363
0.71,-0.0956958,-0.000598736,1.24044e-06,-50.3775,4.27011e-07,1.22767e-11,0.0175366
0.72,-0.111324,-0.000637473,1.36376e-06,-49.7908,4.78453e-07,1.40885e-11,0.0170301
0.73,-0.129415,-0.00067898,1.50112e-06,-49.1868,5.37766e-07,1.61785e-11,0.0165156
0.74,-0.150355,-0.000723528,1.65464e-06,-48.5627,6.06622e-07,1.85946e-11,0.0159917
0.75,-0.174598,-0.00077143,1.82688e-06,-47.9155,6.8717e-07,2.13955e-11,0.0154567
0.76,-0.202674,-0.000823051,2.02097e-06,-47.2416,7.82206e-07,2.46526e-11,0.014909
0.77,-0.235205,-0.00087882,2.24081e-06,-46.5368,8.95414e-07,2.84539e-11,0.0143463
0.78,-0.272919,-0.000939247,2.49122e-06,-45.7963,1.03172e-06,3.29092e-11,0.0137661
0.79,-0.316669,-0.00100493,2.7783e-06,-45.0146,1.19779e-06,3.81563e-11,0.0131658
0.8,-0.367452,-0.00107662,3.10985e-06,-44.1849,1.40283e-06,4.43704e-11,0.012542
0.81,-0.426426,-0.00115521,3.49597e-06,-43.2998,1.65975e-06,5.17769e-11,0.0118908
0.82,-0.494924,-0.00124181,3.94986e-06,-42.3504,1.987e-06,6.06686e-11,0.0112078
0.83,-0.574456,-0.0013378,4.48909e-06,-41.3262,2.41148e-06,7.14309e-11,0.0104877
0.84,-0.666673,-0.00144493,5.13726e-06,-40.2155,2.97325e-06,8.45775e-11,0.009724
0.85,-0.772832,-0.00156542,5.92673e-06,-39.0048,3.73324e-06,1.00802e-10,0.00890923
0.86,-0.895585,-0.00170217,6.90246e-06,-37.679,4.78661e-06,1.21053e-10,0.00803457
0.87,-1.03733,-0.00185891,8.12827e-06,-36.22,6.28696e-06,1.46648e-10,0.00708994
0.88,-1.20029,-0.00204051,9.69631e-06,-34.6077,8.48924e-06,1.79442e-10,0.00606677
0.89,-1.38646,-0.00225346,1.17423e-05,-32.8197,1.18306e-05,2.22081e-10,0.00496495
0.9,-1.59715,-0.00250628,1.44696e-05,-30.832,1.70862e-05,2.78381e-10,0.00380772
0.91,-1.83248,-0.00281022,1.81889e-05,-28.6198,2.568e-05,3.53897e-10,0.00266237
0.92,-2.09055,-0.00317978,2.33809e-05,-26.1593,4.03204e-05,4.56757e-10,0.00164556
0.93,-2.36656,-0.00363298,3.07971e-05,-23.4299,6.63336e-05,5.98856e-10,0.000877289
0.94,-2.65182,-0.0041907,4.16141e-05,-20.4178,0.000114501,7.97475e-10,0.00040035
0.95,-2.93319,-0.00487399,5.76552e-05,-17.1203,0.000207082,1.07733e-09,0.000158125
0.96,-3.19344,-0.00569844,8.16751e-05,-13.5496,0.000390187,1.4729e-09,5.52627e-05
0.97,-3.41295,-0.00666541,0.000117656,-9.73666,0.000756798,2.03052e-09,1.75296e-05
0.98,-3.57299,-0.00775235,0.00017099,-5.73208,0.00147957,2.80979e-09,5.17861e-06
0.99,-3.65969,-0.00890877,0.00024839,-1.6032,0.00282269,3.88335e-09,1.46262e-06
1,-3.66702,-0.010063,0.000357411,2.57213,0.00503676,5.33483e-09,4.05573e-07
1.01,-3.62431,-0.011328,0.000499475,6.22789,0.00768167,7.2193e-09,1.31616e-07
1.02,-3.51396,-0.0124545,0.000681213,9.8043,0.0106142,9.62799e-09,4.36947e-08
1.03,-3.34996,-0.0134237,0.000906449,13.2402,0.0133476,1.26421e-08,1.51276e-08
1.04,-3.14784,-0.0142375,0.00117729,16.49,0.0155844,1.63377e-08,5.54112e-09
1.05,-2.9225,-0.0149134,0.00149406,19.5233,0.0172879,2.07842e-08,2.16813e-09
1.06,-2.68691,-0.0154773,0.00185549,22.3239,0.0185581,2.60433e-08,9.10993e-10
1.07,-2.45137,-0.015957,0.00225899,24.8873,0.0195163,3.21691e-08,4.11717e-10
1.08,-2.22345,-0.0163779,0.00270107,27.2176,0.0202586,3.92093e-08,1.99915e-10
1.09,-2.00815,-0.0167615,0.00317761,29.3253,0.020851,4.72055e-08,1.03972e-10
1.1,-1.80842,-0.0171242,0.00368427,31.2246,0.0213367,5.61944e-08,5.76676e-11
1.11,-1.62561,-0.0174779,0.00421664,32.932,0.0217434,6.62085e-08,3.39407e-11
1.12,-1.45993,-0.0178312,0.00477049,34.4646,0.0220899,7.72765e-08,2.10864e-11
1.13,-1.31083,-0.0181894,0.00534184,35.8394,0.0223887,8.94243e-08,1.37568e-11
1.14,-1.1773,-0.0185561,0.00592701,37.0724,0.0226489,1.02675e-07,9.37793e-12
1.15,-1.05809,-0.018933,0.00652271,38.1787,0.0228772,1.17049e-07,6.6491e-12
1.16,-0.951869,-0.0193211,0.00712596,39.172,0.0230786,1.32565e-07,4.88257e-12
1.17,-0.857298,-0.0197204,0.00773415,40.0646,0.0232572,1.49239e-07,3.69919e-12
1.18,-0.773105,-0.0201307,0.00834499,40.8675,0.0234161,1.67087e-07,2.88173e-12
1.19,-0.698112,-0.0205515,0.00895647,41.5906,0.023558,1.86122e-07,2.30129e-12
1.2,-0.631252,-0.0209818,0.00956686,42.2425,0.023685,2.06356e-07,1.87885e-12
1.21,-0.571568,-0.021421,0.0101746,42.831,0.023799,2.278e-07,1.56452e-12
1.22,-0.518214,-0.0218681,0.0107786,43.3627,0.0239016,2.50463e-07,1.32594e-12
1.23,-0.470443,-0.0223222,0.0113775,43.8436,0.023994,2.74355e-07,1.14163e-12
1.24,-0.427601,-0.0227826,0.0119705,44.2791,0.0240773,2.99483e-07,9.96939e-13
1.25,-0.389114,-0.0232484,0.0125568,44.6737,0.0241527,3.25854e-07,8.81709e-13
1.26,-0.354483,-0.0237189,0.0131357,45.0317,0.0242208,3.53473e-07,7.88749e-13
1.27,-0.32327,-0.0241932,0.0137068,45.3565,0.0242826,3.82348e-07,7.12882e-13
1.28,-0.295092,-0.0246707,0.0142694,45.6516,0.0243386,4.12482e-07,6.50317e-13
1.29,-0.269616,-0.0251507,0.0148233,45.9197,0.0243894,4.43879e-07,5.98235e-13
1.3,-0.246548,-0.0256327,0.0153682,46.1635,0.0244355,4.76544e-07,5.54514e-13
1.31,-0.225633,-0.0261161,0.0159038,46.3852,0.0244774,5.1048e-07,5.17531e-13
1.32,-0.206643,-0.0266004,0.01643,46.5869,0.0245154,5.45689e-07,4.86033e-13
1.33,-0.189381,-0.027085,0.0169466,46.7704,0.02455,5.82174e-07,4.59042e-13
1.34,-0.17367,-0.0275694,0.0174536,46.9373,0.0245815,6.19937e-07,4.35787e-13
1.35,-0.159356,-0.0280533,0.017951,47.0892,0.0246101,6.5898e-07,4.15652e-13
1.36,-0.146301,-0.0285363,0.0184386,47.2274,0.0246361,6.99304e-07,3.98144e-13
1.37,-0.134383,-0.0290179,0.0189166,47.3531,0.0246597,7.4091e-07,3.82861e-13
1.38,-0.123493,-0.0294979,0.019385,47.4674,0.0246812,7.838e-07,3.69476e-13
1.39,-0.113535,-0.0299758,0.0198439,47.5713,0.0247007,8.27974e-07,3.57718e-13
1.4,-0.10442,-0.0304513,0.0202933,47.6656,0.0247184,8.73432e-07,3.47361e-13
1.41,-0.0960725,-0.0309242,0.0207333,47.7512,0.0247345,9.20174e-07,3.3822e-13
1.42,-0.0884219,-0.0313942,0.0211641,47.8289,0.0247491,9.68201e-07,3.30138e-13
1.43,-0.081406,-0.031861,0.0215857,47.8992,0.0247623,1.01751e-06,3.22982e-13
1.44,-0.0749682,-0.0323244,0.0219983,47.9629,0.0247742,1.06811e-06,3.1664e-13
1.45,-0.069058,-0.0327842,0.0224021,48.0205,0.024785,1.11999e-06,3.11016e-13
1.46,-0.0636292,-0.0332402,0.0227971,48.0724,0.0247948,1.17315e-06,3.06027e-13
1.47,-0.0586405,-0.0336922,0.0231836,48.1192,0.0248035,1.2276e-06,3.01601e-13
1.48,-0.0540541,-0.03414,0.0235616,48.1612,0.0248114,1.28333e-06,2.97677e-13
1.49,-0.0498359,-0.0345835,0.0239314,48.1989,0.0248185,1.34034e-06,2.94201e-13
1.5,-0.0459551,-0.0350226,0.024293,48.2327,0.0248248,1.39863e-06,2.91126e-13
1.51,-0.0423833,-0.035457,0.0246467,48.2627,0.0248304,1.4582e-06,2.88411e-13
1.52,-0.0390951,-0.0358868,0.0249926,48.2895,0.0248355,1.51906e-06,2.86019e-13
1.53,-0.036067,-0.0363117,0.0253308,48.3131,0.0248399,1.58119e-06,2.83919e-13
1.54,-0.0332777,-0.0367317,0.0256616,48.334,0.0248438,1.64459e-06,2.82083e-13
1.55,-0.0307077,-0.0371467,0.025985,48.3522,0.0248472,1.70928e-06,2.80485e-13
1.56,-0.0283392,-0.0375566,0.0263013,48.3681,0.0248502,1.77524e-06,2.79103e-13
1.57,-0.026156,-0.0379614,0.0266105,48.3818,0.0248527,1.84247e-06,2.77916e-13
1.58,-0.0241431,-0.0383611,0.0269128,48.3934,0.0248549,1.91097e-06,2.76907e-13
1.59,-0.022287,-0.0387555,0.0272084,48.4033,0.0248568,1.98075e-06,2.7606e-13
1.6,-0.0205751,-0.0391446,0.0274974,48.4114,0.0248583,2.0518e-06,2.75359e-13
1.61,-0.0189961,-0.0395284,0.02778,48.418,0.0248595,2.12412e-06,2.74793e-13
1.62,-0.0175394,-0.0399069,0.0280563,48.4232,0.0248605,2.19771e-06,2.74349e-13
1.63,-0.0161954,-0.04028,0.0283265,48.4271,0.0248612,2.27257e-06,2.74016e-13
1.64,-0.0149551,-0.0406479,0.0285906,48.4298,0.0248617,2.34869e-06,2.73785e-13
1.65,-0.0138106,-0.0410103,0.0288489,48.4315,0.024862,2.42608e-06,2.73647e-13
1.66,-0.0127542,-0.0413674,0.0291014,48.4321,0.0248622,2.50473e-06,2.73594e-13
1.67,-0.0117791,-0.0417192,0.0293482,48.4318,0.0248621,2.58465e-06,2.73618e-13
1.68,-0.010879,-0.0420657,0.0295896,48.4307,0.0248619,2.66583e-06,2.73713e-13
1.69,-0.010048,-0.0424068,0.0298256,48.4288,0.0248615,2.74827e-06,2.73874e-13
1.7,-0.00928078,-0.0427427,0.0300564,48.4262,0.0248611,2.83197e-06,2.74093e-13
1.71,-0.00857239,-0.0430733,0.030282,48.423,0.0248605,2.91693e-06,2.74367e-13
1.72,-0.00791827,-0.0433986,0.0305026,48.4192,0.0248598,3.00315e-06,2.7469e-13
1.73,-0.00731425,-0.0437188,0.0307183,48.4149,0.0248589,3.09063e-06,2.75058e-13
1.74,-0.00675645,-0.0440338,0.0309292,48.4102,0.0248581,3.17936e-06,2.75468e-13
1.75,-0.00624131,-0.0443437,0.0311354,48.405,0.0248571,3.26935e-06,2.75915e-13
1.76,-0.00576555,-0.0446486,0.031337,48.3994,0.024856,3.36059e-06,2.76397e-13
1.77,-0.00532616,-0.0449484,0.0315342,48.3934,0.0248549,3.45308e-06,2.7691e-13
1.78,-0.00492031,-0.0452432,0.0317269,48.3871,0.0248537,3.54683e-06,2.77451e-13
1.79,-0.00454546,-0.0455331,0.0319154,48.3806,0.0248525,3.64183e-06,2.78019e-13
1.8,-0.00419921,-0.0458181,0.0320997,48.3738,0.0248512,3.73808e-06,2.7861e-13
1.81,-0.00387937,-0.0460983,0.0322799,48.3667,0.0248499,3.83558e-06,2.79222e-13
1.82,-0.00358393,-0.0463737,0.0324561,48.3594,0.0248486,3.93433e-06,2.79854e-13
1.83,-0.00331102,-0.0466443,0.0326284,48.352,0.0248472,4.03433e-06,2.80503e-13
1.84,-0.00305892,-0.0469104,0.0327968,48.3444,0.0248457,4.13558e-06,2.81168e-13
1.85,-0.00282603,-0.0471718,0.0329616,48.3367,0.0248443,4.23807e-06,2.81847e-13
1.86,-0.00261091,-0.0474287,0.0331226,48.3288,0.0248428,4.34181e-06,2.82539e-13
1.87,-0.00241218,-0.0476811,0.0332801,48.3208,0.0248413,4.44679e-06,2.83242e-13
1.88,-0.00222858,-0.047929,0.0334341,48.3127,0.0248398,4.55302e-06,2.83956e-13
1.89,-0.00205901,-0.0481726,0.0335846,48.3046,0.0248383,4.66049e-06,2.84679e-13
1.9,-0.00190237,-0.0484119,0.0337318,48.2963,0.0248367,4.76921e-06,2.85409e-13
1.91,-0.00175764,-0.048647,0.0338758,48.288,0.0248352,4.87916e-06,2.86147e-13
1.92,-0.00162392,-0.0488779,0.0340165,48.2797,0.0248336,4.99036e-06,2.86891e-13
1.93,-0.00150042,-0.0491047,0.0341541,48.2713,0.0248321,5.1028e-06,2.8764e-13
1.94,-0.00138631,-0.0493274,0.0342887,48.2629,0.0248305,5.21648e-06,2.88393e-13
1.95,-0.00128084,-0.0495461,0.0344202,48.2545,0.0248289,5.3314e-06,2.89151e-13
1.96,-0.00118343,-0.0497609,0.0345488,48.2461,0.0248273,5.44755e-06,2.89911e-13
1.97,-0.00109342,-0.0499718,0.0346746,48.2376,0.0248257,5.56495e-06,2.90674e-13
