environment | time (ms),fast_sodium_current | i_Na (uA_per_mm2),L_type_Ca_channel | i_CaCa (uA_per_mm2),L_type_Ca_channel | i_CaK (uA_per_mm2),membrane | V (mV),plateau_potassium_current | i_Kp (uA_per_mm2),time_dependent_potassium_current | i_K (uA_per_mm2),time_independent_potassium_current | i_K1 (uA_per_mm2)
92.99,2.45383e-28,-0.0553929,0.00969535,28.1196,0.02052,0.0281358,1.51133e-10
93,7.82952e-28,-0.0553942,0.00969369,28.1166,0.0205192,0.0281397,1.51271e-10
93.01,1.33468e-27,-0.0553956,0.00969204,28.1137,0.0205184,0.0281437,1.5141e-10
93.02,1.90055e-27,-0.055397,0.00969038,28.1107,0.0205175,0.0281477,1.51549e-10
93.03,2.48051e-27,-0.0553983,0.00968873,28.1078,0.0205167,0.0281516,1.51688e-10
93.04,3.07455e-27,-0.0553997,0.00968708,28.1048,0.0205158,0.0281556,1.51828e-10
93.05,3.68263e-27,-0.0554011,0.00968542,28.1018,0.020515,0.0281596,1.51967e-10
93.06,4.30471e-27,-0.0554025,0.00968377,28.0989,0.0205142,0.0281635,1.52107e-10
93.07,4.94075e-27,-0.0554038,0.00968212,28.0959,0.0205133,0.0281675,1.52246e-10
93.08,5.59072e-27,-0.0554052,0.00968047,28.093,0.0205125,0.0281714,1.52386e-10
93.09,6.25456e-27,-0.0554066,0.00967881,28.09,0.0205117,0.0281754,1.52526e-10
93.1,6.93225e-27,-0.055408,0.00967716,28.087,0.0205108,0.0281794,1.52666e-10
93.11,7.62372e-27,-0.0554093,0.00967551,28.0841,0.02051,0.0281833,1.52806e-10
93.12,8.32894e-27,-0.0554107,0.00967386,28.0811,0.0205091,0.0281873,1.52947e-10
93.13,9.04785e-27,-0.0554121,0.00967221,28.0782,0.0205083,0.0281912,1.53087e-10
93.14,9.78041e-27,-0.0554134,0.00967055,28.0752,0.0205075,0.0281952,1.53228e-10
93.15,1.05265e-26,-0.0554148,0.0096689,28.0722,0.0205066,0.0281992,1.53368e-10
93.16,1.12862e-26,-0.0554162,0.00966725,28.0693,0.0205058,0.0282031,1.53509e-10
93.17,1.20594e-26,-0.0554176,0.0096656,28.0663,0.0205049,0.0282071,1.5365e-10
93.18,1.28459e-26,-0.0554189,0.00966395,28.0634,0.0205041,0.028211,1.53791e-10
93.19,1.36458e-26,-0.0554203,0.0096623,28.0604,0.0205033,0.028215,1.53933e-10
93.2,1.4459e-26,-0.0554217,0.00966065,28.0574,0.0205024,0.028219,1.54074e-10
93.21,1.52854e-26,-0.0554231,0.009659,28.0545,0.0205016,0.0282229,1.54216e-10
93.22,1.6125e-26,-0.0554244,0.00965735,28.0515,0.0205007,0.0282269,1.54357e-10
93.23,1.69776e-26,-0.0554258,0.0096557,28.0486,0.0204999,0.0282308,1.54499e-10
93.24,1.78432e-26,-0.0554272,0.00965405,28.0456,0.0204991,0.0282348,1.54641e-10
93.25,1.87218e-26,-0.0554285,0.0096524,28.0426,0.0204982,0.0282387,1.54783e-10
93.26,1.96132e-26,-0.0554299,0.00965075,28.0397,0.0204974,0.0282427,1.54925e-10
93.27,2.05174e-26,-0.0554313,0.00964911,28.0367,0.0204965,0.0282467,1.55068e-10
93.28,2.14343e-26,-0.0554326,0.00964746,28.0338,0.0204957,0.0282506,1.5521e-10
93.29,2.23639e-26,-0.055434,0.00964581,28.0308,0.0204949,0.0282546,1.55353e-10
93.3,2.33059e-26,-0.0554354,0.00964416,28.0278,0.020494,0.0282585,1.55496e-10
93.31,2.42604e-26,-0.0554368,0.00964251,28.0249,0.0204932,0.0282625,1.55638e-10
93.32,2.52272e-26,-0.0554381,0.00964087,28.0219,0.0204923,0.0282664,1.55781e-10
93.33,2.62063e-26,-0.0554395,0.00963922,28.019,0.0204915,0.0282704,1.55925e-10
93.34,2.71976e-26,-0.0554409,0.00963757,28.016,0.0204906,0.0282744,1.56068e-10
93.35,2.82009e-26,-0.0554422,0.00963593,28.013,0.0204898,0.0282783,1.56211e-10
93.36,2.92162e-26,-0.0554436,0.00963428,28.0101,0.020489,0.0282823,1.56355e-10
93.37,3.02434e-26,-0.055445,0.00963263,28.0071,0.0204881,0.0282862,1.56499e-10
93.38,3.12823e-26,-0.0554464,0.00963099,28.0041,0.0204873,0.0282902,1.56643e-10
93.39,3.2333e-26,-0.0554477,0.00962934,28.0012,0.0204864,0.0282941,1.56786e-10
93.4,3.33951e-26,-0.0554491,0.00962769,27.9982,0.0204856,0.0282981,1.56931e-10
93.41,3.44688e-26,-0.0554505,0.00962605,27.9953,0.0204847,0.028302,1.57075e-10
93.42,3.55538e-26,-0.0554518,0.0096244,27.9923,0.0204839,0.028306,1.57219e-10
93.43,3.665e-26,-0.0554532,0.00962276,27.9893,0.0204831,0.02831,1.57364e-10
93.44,3.77573e-26,-0.0554546,0.00962111,27.9864,0.0204822,0.0283139,1.57508e-10
93.45,3.88757e-26,-0.0554559,0.00961947,27.9834,0.0204814,0.0283179,1.57653e-10
93.46,4.00049e-26,-0.0554573,0.00961783,27.9804,0.0204805,0.0283218,1.57798e-10
93.47,4.11449e-26,-0.0554587,0.00961618,27.9775,0.0204797,0.0283258,1.57943e-10
93.48,4.22955e-26,-0.05546,0.00961454,27.9745,0.0204788,0.0283297,1.58089e-10
93.49,4.34567e-26,-0.0554614,0.00961289,27.9716,0.020478,0.0283337,1.58234e-10
93.5,4.46283e-26,-0.0554628,0.00961125,27.9686,0.0204771,0.0283376,1.58379e-10
93.51,4.58101e-26,-0.0554641,0.00960961,27.9656,0.0204763,0.0283416,1.58525e-10
93.52,4.7002e-26,-0.0554655,0.00960796,27.9627,0.0204755,0.0283455,1.58671e-10
93.53,4.8204e-26,-0.0554669,0.00960632,27.9597,0.0204746,0.0283495,1.58817e-10
93.54,4.94158e-26,-0.0554683,0.00960468,27.9567,0.0204738,0.0283534,1.58963e-10
93.55,5.06374e-26,-0.0554696,0.00960304,27.9538,0.0204729,0.0283574,1.59109e-10
93.56,5.18685e-26,-0.055471,0.00960139,27.9508,0.0204721,0.0283613,1.59255e-10
93.57,5.31091e-26,-0.0554724,0.00959975,27.9478,0.0204712,0.0283653,1.59402e-10
93.58,5.43591e-26,-0.0554737,0.00959811,27.9449,0.0204704,0.0283692,1.59548e-10
93.59,5.56182e-26,-0.0554751,0.00959647,27.9419,0.0204695,0.0283732,1.59695e-10
93.6,5.68863e-26,-0.0554765,0.00959483,27.939,0.0204687,0.0283771,1.59842e-10
93.61,5.81632e-26,-0.0554778,0.00959318,27.936,0.0204678,0.0283811,1.59989e-10
93.62,5.94489e-26,-0.0554792,0.00959154,27.933,0.020467,0.028385,1.60136e-10
93.63,6.07432e-26,-0.0554806,0.0095899,27.9301,0.0204661,0.028389,1.60283e-10
93.64,6.20459e-26,-0.0554819,0.00958826,27.9271,0.0204653,0.0283929,1.60431e-10
93.65,6.33569e-26,-0.0554833,0.00958662,27.9241,0.0204644,0.0283969,1.60578e-10
93.66,6.46759e-26,-0.0554847,0.00958498,27.9212,0.0204636,0.0284008,1.60726e-10
93.67,6.60029e-26,-0.055486,0.00958334,27.9182,0.0204628,0.0284048,1.60874e-10
93.68,6.73377e-26,-0.0554874,0.0095817,27.9152,0.0204619,0.0284087,1.61022e-10
93.69,6.86801e-26,-0.0554888,0.00958006,27.9123,0.0204611,0.0284127,1.6117e-10
93.7,7.00299e-26,-0.0554901,0.00957842,27.9093,0.0204602,0.0284166,1.61319e-10
93.71,7.13871e-26,-0.0554915,0.00957679,27.9063,0.0204594,0.0284206,1.61467e-10
93.72,7.27513e-26,-0.0554929,0.00957515,27.9034,0.0204585,0.0284245,1.61616e-10
93.73,7.41225e-26,-0.0554942,0.00957351,27.9004,0.0204577,0.0284285,1.61764e-10
93.74,7.55004e-26,-0.0554956,0.00957187,27.8974,0.0204568,0.0284324,1.61913e-10
93.75,7.6885e-26,-0.0554969,0.00957023,27.8945,0.020456,0.0284364,1.62062e-10
93.76,7.8276e-26,-0.0554983,0.00956859,27.8915,0.0204551,0.0284403,1.62211e-10
93.77,7.96732e-26,-0.0554997,0.00956696,27.8885,0.0204543,0.0284443,1.62361e-10
93.78,8.10764e-26,-0.055501,0.00956532,27.8856,0.0204534,0.0284482,1.6251e-10
93.79,8.24856e-26,-0.0555024,0.00956368,27.8826,0.0204526,0.0284522,1.62659e-10
93.8,8.39004e-26,-0.0555038,0.00956204,27.8797,0.0204517,0.0284561,1.62809e-10
93.81,8.53207e-26,-0.0555051,0.00956041,27.8767,0.0204509,0.0284601,1.62959e-10
93.82,8.67464e-26,-0.0555065,0.00955877,27.8737,0.02045,0.028464,1.63109e-10
93.83,8.81772e-26,-0.0555079,0.00955713,27.8708,0.0204492,0.028468,1.63259e-10
93.84,8.96129e-26,-0.0555092,0.0095555,27.8678,0.0204483,0.0284719,1.63409e-10
93.85,9.10533e-26,-0.0555106,0.00955386,27.8648,0.0204475,0.0284759,1.6356e-10
93.86,9.24983e-26,-0.055512,0.00955223,27.8619,0.0204466,0.0284798,1.6371e-10
93.87,9.39477e-26,-0.0555133,0.00955059,27.8589,0.0204458,0.0284837,1.63861e-10
93.88,9.54012e-26,-0.0555147,0.00954896,27.8559,0.0204449,0.0284877,1.64012e-10
93.89,9.68587e-26,-0.0555161,0.00954732,27.853,0.0204441,0.0284916,1.64163e-10
93.9,9.83199e-26,-0.0555174,0.00954569,27.85,0.0204432,0.0284956,1.64314e-10
93.91,9.97846e-26,-0.0555188,0.00954405,27.847,0.0204424,0.0284995,1.64465e-10
93.92,1.01253e-25,-0.0555201,0.00954242,27.8441,0.0204415,0.0285035,1.64617e-10
93.93,1.02724e-25,-0.0555215,0.00954078,27.8411,0.0204407,0.0285074,1.64768e-10
93.94,1.04198e-25,-0.0555229,0.00953915,27.8381,0.0204398,0.0285114,1.6492e-10
93.95,1.05675e-25,-0.0555242,0.00953751,27.8351,0.020439,0.0285153,1.65072e-10
93.96,1.07154e-25,-0.0555256,0.00953588,27.8322,0.0204381,0.0285192,1.65224e-10
93.97,1.08636e-25,-0.055527,0.00953425,27.8292,0.0204372,0.0285232,1.65376e-10
93.98,1.1012e-25,-0.0555283,0.00953261,27.8262,0.0204364,0.0285271,1.65528e-10
93.99,1.11606e-25,-0.0555297,0.00953098,27.8233,0.0204355,0.0285311,1.65681e-10
94,1.13093e-25,-0.055531,0.00952935,27.8203,0.0204347,0.028535,1.65833e-10
94.01,1.14582e-25,-0.0555324,0.00952772,27.8173,0.0204338,0.028539,1.65986e-10
94.02,1.16071e-25,-0.0555338,0.00952608,27.8144,0.020433,0.0285429,1.66139e-10
94.03,1.17562e-25,-0.0555351,0.00952445,27.8114,0.0204321,0.0285468,1.66292e-10
94.04,1.19054e-25,-0.0555365,0.00952282,27.8084,0.0204313,0.0285508,1.66445e-10
94.05,1.20546e-25,-0.0555379,0.00952119,27.8055,0.0204304,0.0285547,1.66599e-10
94.06,1.22039e-25,-0.0555392,0.00951956,27.8025,0.0204296,0.0285587,1.66752e-10
94.07,1.23531e-25,-0.0555406,0.00951792,27.7995,0.0204287,0.0285626,1.66906e-10
94.08,1.25024e-25,-0.0555419,0.00951629,27.7966,0.0204279,0.0285666,1.67059e-10
94.09,1.26516e-25,-0.0555433,0.00951466,27.7936,0.020427,0.0285705,1.67213e-10
94.1,1.28007e-25,-0.0555447,0.00951303,27.7906,0.0204261,0.0285744,1.67367e-10
94.11,1.29498e-25,-0.055546,0.0095114,27.7877,0.0204253,0.0285784,1.67521e-10
94.12,1.30987e-25,-0.0555474,0.00950977,27.7847,0.0204244,0.0285823,1.67676e-10
94.13,1.32476e-25,-0.0555487,0.00950814,27.7817,0.0204236,0.0285863,1.6783e-10
94.14,1.33962e-25,-0.0555501,0.00950651,27.7787,0.0204227,0.0285902,1.67985e-10
94.15,1.35447e-25,-0.0555515,0.00950488,27.7758,0.0204219,0.0285941,1.6814e-10
94.16,1.3693e-25,-0.0555528,0.00950325,27.7728,0.020421,0.0285981,1.68295e-10
94.17,1.38411e-25,-0.0555542,0.00950162,27.7698,0.0204202,0.028602,1.6845e-10
94.18,1.39889e-25,-0.0555555,0.0095,27.7669,0.0204193,0.028606,1.68605e-10
94.19,1.41364e-25,-0.0555569,0.00949837,27.7639,0.0204184,0.0286099,1.6876e-10
94.2,1.42836e-25,-0.0555583,0.00949674,27.7609,0.0204176,0.0286138,1.68916e-10
94.21,1.44306e-25,-0.0555596,0.00949511,27.758,0.0204167,0.0286178,1.69071e-10
94.22,1.45771e-25,-0.055561,0.00949348,27.755,0.0204159,0.0286217,1.69227e-10
94.23,1.47233e-25,-0.0555623,0.00949185,27.752,0.020415,0.0286257,1.69383e-10
94.24,1.48691e-25,-0.0555637,0.00949023,27.749,0.0204142,0.0286296,1.69539e-10
94.25,1.50145e-25,-0.0555651,0.0094886,27.7461,0.0204133,0.0286335,1.69696e-10
94.26,1.51594e-25,-0.0555664,0.00948697,27.7431,0.0204125,0.0286375,1.69852e-10
94.27,1.53038e-25,-0.0555678,0.00948535,27.7401,0.0204116,0.0286414,1.70009e-10
94.28,1.54478e-25,-0.0555691,0.00948372,27.7372,0.0204107,0.0286453,1.70165e-10
94.29,1.55912e-25,-0.0555705,0.00948209,27.7342,0.0204099,0.0286493,1.70322e-10
94.3,1.57341e-25,-0.0555719,0.00948047,27.7312,0.020409,0.0286532,1.70479e-10
94.31,1.58764e-25,-0.0555732,0.00947884,27.7283,0.0204082,0.0286572,1.70636e-10
94.32,1.60181e-25,-0.0555746,0.00947721,27.7253,0.0204073,0.0286611,1.70794e-10
94.33,1.61592e-25,-0.0555759,0.00947559,27.7223,0.0204064,0.028665,1.70951e-10
94.34,1.62996e-25,-0.0555773,0.00947396,27.7193,0.0204056,0.028669,1.71109e-10
94.35,1.64393e-25,-0.0555787,0.00947234,27.7164,0.0204047,0.0286729,1.71266e-10
94.36,1.65784e-25,-0.05558,0.00947071,27.7134,0.0204039,0.0286768,1.71424e-10
94.37,1.67167e-25,-0.0555814,0.00946909,27.7104,0.020403,0.0286808,1.71582e-10
94.38,1.68543e-25,-0.0555827,0.00946746,27.7075,0.0204022,0.0286847,1.71741e-10
94.39,1.6991e-25,-0.0555841,0.00946584,27.7045,0.0204013,0.0286886,1.71899e-10
94.4,1.7127e-25,-0.0555854,0.00946421,27.7015,0.0204004,0.0286926,1.72057e-10
94.41,1.72622e-25,-0.0555868,0.00946259,27.6985,0.0203996,0.0286965,1.72216e-10
94.42,1.73965e-25,-0.0555882,0.00946097,27.6956,0.0203987,0.0287004,1.72375e-10
94.43,1.75299e-25,-0.0555895,0.00945934,27.6926,0.0203979,0.0287044,1.72534e-10
94.44,1.76623e-25,-0.0555909,0.00945772,27.6896,0.020397,0.0287083,1.72693e-10
94.45,1.77939e-25,-0.0555922,0.0094561,27.6867,0.0203961,0.0287122,1.72852e-10
94.46,1.79245e-25,-0.0555936,0.00945447,27.6837,0.0203953,0.0287162,1.73012e-10
94.47,1.80541e-25,-0.0555949,0.00945285,27.6807,0.0203944,0.0287201,1.73171e-10
94.48,1.81827e-25,-0.0555963,0.00945123,27.6777,0.0203935,0.028724,1.73331e-10
94.49,1.83102e-25,-0.0555976,0.00944961,27.6748,0.0203927,0.028728,1.73491e-10
94.5,1.84367e-25,-0.055599,0.00944798,27.6718,0.0203918,0.0287319,1.73651e-10
94.51,1.8562e-25,-0.0556004,0.00944636,27.6688,0.020391,0.0287358,1.73811e-10
94.52,1.86863e-25,-0.0556017,0.00944474,27.6658,0.0203901,0.0287398,1.73971e-10
94.53,1.88094e-25,-0.0556031,0.00944312,27.6629,0.0203892,0.0287437,1.74132e-10
94.54,1.89313e-25,-0.0556044,0.0094415,27.6599,0.0203884,0.0287476,1.74292e-10
94.55,1.9052e-25,-0.0556058,0.00943988,27.6569,0.0203875,0.0287516,1.74453e-10
94.56,1.91715e-25,-0.0556071,0.00943826,27.654,0.0203867,0.0287555,1.74614e-10
94.57,1.92898e-25,-0.0556085,0.00943664,27.651,0.0203858,0.0287594,1.74775e-10
94.58,1.94067e-25,-0.0556098,0.00943502,27.648,0.0203849,0.0287634,1.74937e-10
94.59,1.95224e-25,-0.0556112,0.0094334,27.645,0.0203841,0.0287673,1.75098e-10
94.6,1.96367e-25,-0.0556126,0.00943178,27.6421,0.0203832,0.0287712,1.7526e-10
94.61,1.97497e-25,-0.0556139,0.00943016,27.6391,0.0203823,0.0287752,1.75421e-10
94.62,1.98612e-25,-0.0556153,0.00942854,27.6361,0.0203815,0.0287791,1.75583e-10
94.63,1.99714e-25,-0.0556166,0.00942692,27.6331,0.0203806,0.028783,1.75745e-10
94.64,2.00801e-25,-0.055618,0.0094253,27.6302,0.0203798,0.028787,1.75907e-10
94.65,2.01874e-25,-0.0556193,0.00942368,27.6272,0.0203789,0.0287909,1.7607e-10
94.66,2.02931e-25,-0.0556207,0.00942206,27.6242,0.020378,0.0287948,1.76232e-10
94.67,2.03974e-25,-0.055622,0.00942044,27.6212,0.0203772,0.0287987,1.76395e-10
94.68,2.05001e-25,-0.0556234,0.00941882,27.6183,0.0203763,0.0288027,1.76558e-10
94.69,2.06012e-25,-0.0556247,0.00941721,27.6153,0.0203754,0.0288066,1.7672e-10
94.7,2.07007e-25,-0.0556261,0.00941559,27.6123,0.0203746,0.0288105,1.76884e-10
94.71,2.07986e-25,-0.0556275,0.00941397,27.6093,0.0203737,0.0288145,1.77047e-10
94.72,2.08949e-25,-0.0556288,0.00941235,27.6064,0.0203728,0.0288184,1.7721e-10
94.73,2.09894e-25,-0.0556302,0.00941074,27.6034,0.020372,0.0288223,1.77374e-10
94.74,2.10823e-25,-0.0556315,0.00940912,27.6004,0.0203711,0.0288262,1.77538e-10
94.75,2.11735e-25,-0.0556329,0.0094075,27.5974,0.0203702,0.0288302,1.77701e-10
94.76,2.12629e-25,-0.0556342,0.00940589,27.5945,0.0203694,0.0288341,1.77865e-10
94.77,2.13505e-25,-0.0556356,0.00940427,27.5915,0.0203685,0.028838,1.7803e-10
94.78,2.14363e-25,-0.0556369,0.00940265,27.5885,0.0203676,0.028842,1.78194e-10
94.79,2.15203e-25,-0.0556383,0.00940104,27.5855,0.0203668,0.0288459,1.78359e-10
94.8,2.16024e-25,-0.0556396,0.00939942,27.5826,0.0203659,0.0288498,1.78523e-10
94.81,2.16826e-25,-0.055641,0.00939781,27.5796,0.020365,0.0288537,1.78688e-10
94.82,2.1761e-25,-0.0556423,0.00939619,27.5766,0.0203642,0.0288577,1.78853e-10
94.83,2.18374e-25,-0.0556437,0.00939458,27.5736,0.0203633,0.0288616,1.79018e-10
94.84,2.19118e-25,-0.055645,0.00939296,27.5707,0.0203624,0.0288655,1.79183e-10
94.85,2.19843e-25,-0.0556464,0.00939135,27.5677,0.0203616,0.0288694,1.79349e-10
94.86,2.20548e-25,-0.0556477,0.00938973,27.5647,0.0203607,0.0288734,1.79514e-10
94.87,2.21232e-25,-0.0556491,0.00938812,27.5617,0.0203598,0.0288773,1.7968e-10
94.88,2.21896e-25,-0.0556504,0.00938651,27.5588,0.020359,0.0288812,1.79846e-10
94.89,2.22539e-25,-0.0556518,0.00938489,27.5558,0.0203581,0.0288851,1.80012e-10
94.9,2.23161e-25,-0.0556531,0.00938328,27.5528,0.0203572,0.0288891,1.80178e-10
94.91,2.23762e-25,-0.0556545,0.00938167,27.5498,0.0203564,0.028893,1.80345e-10
94.92,2.24341e-25,-0.0556558,0.00938005,27.5469,0.0203555,0.0288969,1.80511e-10
94.93,2.24899e-25,-0.0556572,0.00937844,27.5439,0.0203546,0.0289008,1.80678e-10
94.94,2.25434e-25,-0.0556585,0.00937683,27.5409,0.0203538,0.0289048,1.80845e-10
94.95,2.25948e-25,-0.0556599,0.00937521,27.5379,0.0203529,0.0289087,1.81012e-10
94.96,2.26439e-25,-0.0556612,0.0093736,27.5349,0.020352,0.0289126,1.81179e-10
94.97,2.26907e-25,-0.0556626,0.00937199,27.532,0.0203512,0.0289165,1.81347e-10
94.98,2.27352e-25,-0.0556639,0.00937038,27.529,0.0203503,0.0289205,1.81514e-10
94.99,2.27774e-25,-0.0556653,0.00936877,27.526,0.0203494,0.0289244,1.81682e-10
95,2.28173e-25,-0.0556666,0.00936716,27.523,0.0203486,0.0289283,1.8185e-10
95.01,2.28549e-25,-0.055668,0.00936554,27.5201,0.0203477,0.0289322,1.82018e-10
95.02,2.289e-25,-0.0556693,0.00936393,27.5171,0.0203468,0.0289361,1.82186e-10
95.03,2.29227e-25,-0.0556707,0.00936232,27.5141,0.0203459,0.0289401,1.82354e-10
95.04,2.29531e-25,-0.055672,0.00936071,27.5111,0.0203451,0.028944,1.82523e-10
95.05,2.2981e-25,-0.0556734,0.0093591,27.5082,0.0203442,0.0289479,1.82691e-10
95.06,2.30064e-25,-0.0556747,0.00935749,27.5052,0.0203433,0.0289518,1.8286e-10
95.07,2.30293e-25,-0.0556761,0.00935588,27.5022,0.0203425,0.0289558,1.83029e-10
95.08,2.30497e-25,-0.0556774,0.00935427,27.4992,0.0203416,0.0289597,1.83198e-10
95.09,2.30676e-25,-0.0556788,0.00935266,27.4962,0.0203407,0.0289636,1.83367e-10
95.1,2.3083e-25,-0.0556801,0.00935105,27.4933,0.0203398,0.0289675,1.83537e-10
95.11,2.30957e-25,-0.0556815,0.00934944,27.4903,0.020339,0.0289714,1.83706e-10
95.12,2.31059e-25,-0.0556828,0.00934784,27.4873,0.0203381,0.0289754,1.83876e-10
95.13,2.31135e-25,-0.0556842,0.00934623,27.4843,0.0203372,0.0289793,1.84046e-10
95.14,2.31185e-25,-0.0556855,0.00934462,27.4813,0.0203364,0.0289832,1.84216e-10
95.15,2.31208e-25,-0.0556869,0.00934301,27.4784,0.0203355,0.0289871,1.84386e-10
95.16,2.31205e-25,-0.0556882,0.0093414,27.4754,0.0203346,0.028991,1.84557e-10
95.17,2.31174e-25,-0.0556895,0.00933979,27.4724,0.0203337,0.028995,1.84727e-10
95.18,2.31117e-25,-0.0556909,0.00933819,27.4694,0.0203329,0.0289989,1.84898e-10
95.19,2.31033e-25,-0.0556922,0.00933658,27.4665,0.020332,0.0290028,1.85069e-10
95.2,2.30921e-25,-0.0556936,0.00933497,27.4635,0.0203311,0.0290067,1.8524e-10
95.21,2.30782e-25,-0.0556949,0.00933337,27.4605,0.0203303,0.0290106,1.85411e-10
95.22,2.30615e-25,-0.0556963,0.00933176,27.4575,0.0203294,0.0290145,1.85583e-10
95.23,2.3042e-25,-0.0556976,0.00933015,27.4545,0.0203285,0.0290185,1.85754e-10
95.24,2.30197e-25,-0.055699,0.00932855,27.4516,0.0203276,0.0290224,1.85926e-10
95.25,2.29946e-25,-0.0557003,0.00932694,27.4486,0.0203268,0.0290263,1.86098e-10
95.26,2.29667e-25,-0.0557017,0.00932533,27.4456,0.0203259,0.0290302,1.8627e-10
95.27,2.29359e-25,-0.055703,0.00932373,27.4426,0.020325,0.0290341,1.86442e-10
95.28,2.29023e-25,-0.0557044,0.00932212,27.4396,0.0203241,0.029038,1.86615e-10
95.29,2.28658e-25,-0.0557057,0.00932052,27.4367,0.0203233,0.029042,1.86787e-10
95.3,2.28264e-25,-0.055707,0.00931891,27.4337,0.0203224,0.0290459,1.8696e-10
95.31,2.27841e-25,-0.0557084,0.00931731,27.4307,0.0203215,0.0290498,1.87133e-10
95.32,2.27388e-25,-0.0557097,0.0093157,27.4277,0.0203206,0.0290537,1.87306e-10
95.33,2.26907e-25,-0.0557111,0.0093141,27.4247,0.0203198,0.0290576,1.87479e-10
95.34,2.26396e-25,-0.0557124,0.0093125,27.4218,0.0203189,0.0290615,1.87652e-10
95.35,2.25856e-25,-0.0557138,0.00931089,27.4188,0.020318,0.0290655,1.87826e-10
95.36,2.25286e-25,-0.0557151,0.00930929,27.4158,0.0203171,0.0290694,1.88e-10
95.37,2.24686e-25,-0.0557165,0.00930768,27.4128,0.0203163,0.0290733,1.88173e-10
95.38,2.24056e-25,-0.0557178,0.00930608,27.4098,0.0203154,0.0290772,1.88348e-10
95.39,2.23397e-25,-0.0557191,0.00930448,27.4069,0.0203145,0.0290811,1.88522e-10
95.4,2.22707e-25,-0.0557205,0.00930287,27.4039,0.0203136,0.029085,1.88696e-10
95.41,2.21987e-25,-0.0557218,0.00930127,27.4009,0.0203128,0.0290889,1.88871e-10
95.42,2.21237e-25,-0.0557232,0.00929967,27.3979,0.0203119,0.0290929,1.89045e-10
95.43,2.20457e-25,-0.0557245,0.00929807,27.3949,0.020311,0.0290968,1.8922e-10
95.44,2.19646e-25,-0.0557259,0.00929647,27.3919,0.0203101,0.0291007,1.89395e-10
95.45,2.18805e-25,-0.0557272,0.00929486,27.389,0.0203092,0.0291046,1.8957e-10
95.46,2.17933e-25,-0.0557285,0.00929326,27.386,0.0203084,0.0291085,1.89746e-10
95.47,2.17031e-25,-0.0557299,0.00929166,27.383,0.0203075,0.0291124,1.89921e-10
95.48,2.16098e-25,-0.0557312,0.00929006,27.38,0.0203066,0.0291163,1.90097e-10
95.49,2.15134e-25,-0.0557326,0.00928846,27.377,0.0203057,0.0291203,1.90273e-10
95.5,2.1414e-25,-0.0557339,0.00928686,27.3741,0.0203049,0.0291242,1.90449e-10
95.51,2.13114e-25,-0.0557352,0.00928526,27.3711,0.020304,0.0291281,1.90625e-10
95.52,2.12058e-25,-0.0557366,0.00928366,27.3681,0.0203031,0.029132,1.90801e-10
95.53,2.10971e-25,-0.0557379,0.00928206,27.3651,0.0203022,0.0291359,1.90978e-10
95.54,2.09853e-25,-0.0557393,0.00928046,27.3621,0.0203013,0.0291398,1.91155e-10
95.55,2.08704e-25,-0.0557406,0.00927886,27.3591,0.0203005,0.0291437,1.91332e-10
95.56,2.07525e-25,-0.055742,0.00927726,27.3562,0.0202996,0.0291476,1.91509e-10
95.57,2.06314e-25,-0.0557433,0.00927566,27.3532,0.0202987,0.0291515,1.91686e-10
95.58,2.05072e-25,-0.0557446,0.00927406,27.3502,0.0202978,0.0291555,1.91863e-10
95.59,2.03799e-25,-0.055746,0.00927246,27.3472,0.0202969,0.0291594,1.92041e-10
95.6,2.02496e-25,-0.0557473,0.00927086,27.3442,0.0202961,0.0291633,1.92219e-10
95.61,2.01161e-25,-0.0557487,0.00926926,27.3412,0.0202952,0.0291672,1.92396e-10
95.62,1.99795e-25,-0.05575,0.00926766,27.3383,0.0202943,0.0291711,1.92575e-10
95.63,1.98399e-25,-0.0557513,0.00926607,27.3353,0.0202934,0.029175,1.92753e-10
95.64,1.96971e-25,-0.0557527,0.00926447,27.3323,0.0202925,0.0291789,1.92931e-10
95.65,1.95513e-25,-0.055754,0.00926287,27.3293,0.0202917,0.0291828,1.9311e-10
95.66,1.94024e-25,-0.0557554,0.00926127,27.3263,0.0202908,0.0291867,1.93288e-10
95.67,1.92505e-25,-0.0557567,0.00925968,27.3233,0.0202899,0.0291906,1.93467e-10
95.68,1.90954e-25,-0.055758,0.00925808,27.3204,0.020289,0.0291945,1.93646e-10
95.69,1.89373e-25,-0.0557594,0.00925648,27.3174,0.0202881,0.0291985,1.93826e-10
95.7,1.87762e-25,-0.0557607,0.00925489,27.3144,0.0202873,0.0292024,1.94005e-10
95.71,1.8612e-25,-0.055762,0.00925329,27.3114,0.0202864,0.0292063,1.94185e-10
95.72,1.84447e-25,-0.0557634,0.00925169,27.3084,0.0202855,0.0292102,1.94365e-10
95.73,1.82745e-25,-0.0557647,0.0092501,27.3054,0.0202846,0.0292141,1.94544e-10
95.74,1.81012e-25,-0.0557661,0.0092485,27.3025,0.0202837,0.029218,1.94725e-10
95.75,1.79249e-25,-0.0557674,0.00924691,27.2995,0.0202828,0.0292219,1.94905e-10
95.76,1.77456e-25,-0.0557687,0.00924531,27.2965,0.020282,0.0292258,1.95085e-10
95.77,1.75633e-25,-0.0557701,0.00924372,27.2935,0.0202811,0.0292297,1.95266e-10
